Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Book Chapter,34,Eric,,Taylor,Virginia Lovison; Eric S. Taylor,Can Teacher Evaluation Programs Improve Teaching,PACE,No,,,,September,,Getting Down to Facts II,2018,"https://files.eric.ed.gov/fulltext/ED594617.pdf#:~:text=In%20short%2C%20evaluation%20may%20improve%20job%20performance%2C%20for,%28Milanowski%20and%20Henemen%202001%2C%20Taylor%20and%20Tyler%202012%29.",No page numbers.,,,,,,,,,,,Summer - Kiki,,pdf,09/01/2018,Yes,Lovison Virginia and Eric S. Taylor,"Lovison Virginia and Eric S. Taylor. 2018. ""Can Teacher Evaluation Programs Improve Teaching"" in Getting Down to Facts II. Vol. No.: nan: PACE."
,Chapter,107,Michael,,Walton,Michael Walton,"An Indian Gilded Age? Continuity and Change in the Political Economy of India’s 
Development",Oxforf University Press,Forthcoming,,,,,,"Liz Chatterjee and Matthew McCartney, eds The Political 
Economy of Development in India Revisited",,https://academic.oup.com/book/36687/chapter/321726063,,,,,,,,,,,,Summer - Maceo,,chapter-para,01/01/nan,Yes,Walton Michael,Skipped
,Book Chapter,16,Sarah,,Dryden-Peterson,Sarah Dryden-Peterson; Michelle J. Bellino; Vidur Chopra,Conflict: Education and Youth,Oxford: Elsevier,No,,,632-638,,,International Encyclopedia of Social and Behavioral Sciences,2015,https://www.sciencedirect.com/science/article/abs/pii/B978008097086864120X,No quarter/month.,,,,,,,,,,,Summer - Kiki,,abstract author,01/01/2015,Yes,"Dryden-Peterson Sarah, Michelle J. Bellino and Vidur Chopra","Dryden-Peterson Sarah, Michelle J. Bellino and Vidur Chopra. 2015. ""Conflict: Education and Youth"" in International Encyclopedia of Social and Behavioral Sciences. Vol. No.: nan: Oxford: Elsevier."
,Chapter,100,Pippa,,Norris,Pippa Norris,Electoral integrity and electoral systems,Oxford University Press.,,,,,,,Oxford Handbook of Electoral Systems,2017,https://academic.oup.com/edited-volume/27944/chapter/211878306,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2017,Yes,Norris Pippa,Skipped
,Journal Article,5,Asim,,Khwaja,Asim Ijaz Khwaja; Atif Mian; Bilal Zia,"Dollars Dollars Everywhere, Nor Any Dime to Lend",Oxford University Press: Review of Finacial Studies,No,23.0,12,4281-4323,December,,,2010,https://academic.oup.com/rfs/article-abstract/23/12/4281/1600058,,,I am unsureif the publisher is correct.,yes,,,,,,,,Summer - Kiki,,abstract extract,12/01/2010,Yes,"Khwaja Asim Ijaz, Atif Mian and Bilal Zia","Khwaja Asim Ijaz, Atif Mian and Bilal Zia. 2010. Dollars Dollars Everywhere, Nor Any Dime to Lend. Oxford University Press: Review of Finacial Studies 23.0, no. 12 (December): 4281-4323."
,Journal Article,5,Asim,,Khwaja,Tahir Andrabi; Jishnu Das; Asim Ijaz Khwaja; Tara Vishwanath,Learning and Educational Achievements in Punjab Schools (LEAPS): Insights to inform the education policy debate,Oxford University Press,Yes,,,,,,,2007,https://khwaja.scholar.harvard.edu/files/asimkhwaja/files/leaps_report_final.pdf,"Forthcoming, no volume, issue, page numbers, or date.",,,yes,,,,,,,,Summer - Kiki,,pdf,01/01/2007,Yes,"Andrabi Tahir, Jishnu Das, Asim Ijaz Khwaja and Tara Vishwanath","Andrabi Tahir, Jishnu Das, Asim Ijaz Khwaja and Tara Vishwanath. 2007. Learning and Educational Achievements in Punjab Schools (LEAPS): Insights to inform the education policy debate. Oxford University Press nan, no. nan (nan): nan."
,Book Chapter,16,Sarah,,Dryden-Peterson,Cathryn Costello; Michelle Foster; Jane McAdam,Refugee Rights and Realities: Education,Oxford University Press,No,,,971-987,June,,The Oxford Handbook of International Refugee Law,2021,https://global.oup.com/academic/product/the-oxford-handbook-of-international-refugee-law-9780198848639?cc=gb&lang=en,,,,,,,,,,,,Summer - Kiki,,expanding_content_container_inner_narrow,06/01/2021,No,"Costello Cathryn, Michelle Foster and Jane McAdam",Issue in Author Name
,Book Chapter,19,Bemjamin,N,Roth,Benjamin N. Roth,Market Design Under Weak Institutions,Oxford University Press,Yes,4.0,,,May,,,2017,https://www.hbs.edu/ris/Publication%20Files/weak%20institutions_255aacc9-2363-4dbf-ae69-2e3645d95cff.pdf,No issue or page number.,,,,,,,,,,,Summer - Kiki,,pdf,05/01/2017,Yes,Roth Benjamin N.,"Roth Benjamin N.. 2017. ""Market Design Under Weak Institutions"" in nan. Vol. No.: 4.0: Oxford University Press."
,Book Chapter,21,Stephane,,Verguet,Stéphane Verguet; Mieraf Taddesse Tolla; Solomon Tessema Memirie; Dean T. Jamiso,Extended Cost-Effectiveness Analysis,Oxford University Press,No,,,,November,,Global Health Priority-Setting: Beyond Cost-Effectiveness,2019,https://academic.oup.com/book/38723/chapter/336941675,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract extract,11/01/2019,Yes,"Verguet Stéphane, Mieraf Taddesse Tolla, Solomon Tessema Memirie and Dean T. Jamiso","Verguet Stéphane, Mieraf Taddesse Tolla, Solomon Tessema Memirie and Dean T. Jamiso. 2019. ""Extended Cost-Effectiveness Analysis"" in Global Health Priority-Setting: Beyond Cost-Effectiveness. Vol. No.: nan: Oxford University Press."
,Book Chapter,42,Marlous,,Van Waijenburg,Ewout Frankema; Marlous van Waijenburg ,Fiscal Development under Colonial and Sovereign Rule,Oxford University Press,No,,,67-97,January,,Global Taxation: How Modern Taxes Conquered the World,2022,https://academic.oup.com/book/38815/chapter-abstract/337669914?redirectedFrom=fulltext,,,,,,,,,,,,Summer - Kiki,,abstract extract,01/01/2022,No,Frankema Ewout and Marlous van Waijenburg,Issue in Author Name
,Book,43,Tarun,,Khanna,Tarun Khanna; Michael Szonyi,"Making Meritocracy: Lessons from China and India, from Antiquity to the Present",Oxford University Press,No,,,,August,,,2022,https://global.oup.com/academic/product/making-meritocracy-9780197602461?lang=en&cc=us,,,,,,,,,,,,Summer - Kiki,,expanding_content_container_inner_narrow,08/01/2022,Yes,Khanna Tarun and Michael Szonyi,"Khanna Tarun and Michael Szonyi. 2022. Making Meritocracy: Lessons from China and India, from Antiquity to the Present.: Oxford University Press."
,Book,63,Tarek,,Masoud,Jason Brownlee; Tarek Masoud; Andrew Reynolds,The Arab Spring: Pathways of Repression and Reform,Oxford University Press,No,,,,April,,,2015,https://global.oup.com/academic/product/the-arab-spring-9780199660063?cc=us&lang=en&,,,,,,,,,,,,Summer - Kiki,,expanding_content_container_inner_narrow,04/01/2015,Yes,"Brownlee Jason, Tarek Masoud and Andrew Reynolds","Brownlee Jason, Tarek Masoud and Andrew Reynolds. 2015. The Arab Spring: Pathways of Repression and Reform.: Oxford University Press."
,Chapter,66,Benjamin,,Friedman,Douglas D. Evanoff; George G. Kaufman; A. G. Malliaris,Struggling to Escape from 'Assumption 14',Oxford University Press,,,,,,,New Perspectives on Asset Price Bubbles,2012,https://academic.oup.com/book/3632,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2012,No,"Evanoff Douglas D., George G. Kaufman and A. G. Malliaris",Skipped
,Book,75,Jocelyn,,Viterna,Jocelyn Viterna; José Santos Guardado Bautista; Silvia Ivette Juarez Barrios; Alba Evelyn Cortez,Governance and the Reversal of Women’s Rights: The Case of Abortion in El Salvador,Oxford University Press,,,,255-276,,,,2018,https://academic.oup.com/book/26611/chapter/195286495,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2018,Yes,"Viterna Jocelyn, José Santos Guardado Bautista, Silvia Ivette Juarez Barrios and Alba Evelyn Cortez","Viterna Jocelyn, José Santos Guardado Bautista, Silvia Ivette Juarez Barrios and Alba Evelyn Cortez. 2018. Governance and the Reversal of Women’s Rights: The Case of Abortion in El Salvador.: Oxford University Press."
,Book,75,Jocelyn,,Viterna,Jocelyn Viterna,Women in War: The Micro-processes of Mobilization in El Salvador,Oxford University Press,,,,,,,,2013,https://academic.oup.com/book/2839,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2013,Yes,Viterna Jocelyn,Viterna Jocelyn. 2013. Women in War: The Micro-processes of Mobilization in El Salvador.: Oxford University Press.
,Chapter,76,Jeffry,,Frieden,Jeffry Frieden,"The Crisis, the Public, and the Future of European Integration",Oxford University Press,,,,,,,After the Crisis,2016,https://academic.oup.com/book/9087/chapter/162501576,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2016,Yes,Frieden Jeffry,Skipped
,Journal Article,89,Jeffery,,Frankel,Jeffrey A. Frankel,The Currency-Plus-Commodity Basket: A Proposal for Exchange Rates in Oil-Exporting Countries to Accommodate Trade Shocks Automatically,Oxford University Press,,,,149-182,,,Institutions and Macroeconomic Policy in Resource-Rich Arab Economies,2019,https://academic.oup.com/book/37384/chapter/331381525,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2019,Yes,Frankel Jeffrey A.,"Frankel Jeffrey A.. 2019. The Currency-Plus-Commodity Basket: A Proposal for Exchange Rates in Oil-Exporting Countries to Accommodate Trade Shocks Automatically. Oxford University Press nan, no. nan (nan): 149-182."
,Chapter,100,Pippa,,Norris,Pippa Norris,Participation in democratic and authoritarian regimes,Oxford University Press,,,,,,,Oxford Handbook of Political Participation,2022,https://www.hks.harvard.edu/publications/participation-democratic-and-authoritarian-regimes,,,,,,,,,,,,Summer - Maceo,,,01/01/2022,Yes,Norris Pippa,Skipped
,Chapter,100,Pippa,,Norris,Pippa Norris,The populist challenge to liberal democracy,Oxford University Press,,,,,,,Oxford Handbook on Political Representation in Liberal Democracies,2020,https://academic.oup.com/edited-volume/28169/chapter-abstract/213042088?redirectedFrom=fulltext,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2020,Yes,Norris Pippa,Skipped
,Book,100,Pippa,,Norris,Pippa Norris; Sarah Cameron; Thomas Wynter,Electoral integrity in America: Securing Democracy.,Oxford University Press,,,,,,,,2019,https://academic.oup.com/book/9026,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2019,Yes,"Norris Pippa, Sarah Cameron and Thomas Wynter","Norris Pippa, Sarah Cameron and Thomas Wynter. 2019. Electoral integrity in America: Securing Democracy.: Oxford University Press."
,Chapter,107,Michael,,Walton,Patrick Heller; Partha Mukhopadhyay; Michael Walton,Cabal City: Urban Regimes and Accumulation without Development,Oxford University Press,,,,,,,Business and Politics in India,2019,https://academic.oup.com/book/26150/chapter/194225759,,,,,,,,,,,,Summer - Maceo,,abstract extract,01/01/2019,Yes,"Heller Patrick, Partha Mukhopadhyay and Michael Walton",Skipped
,Journal Article,85,Melani,,Cammett,Melani Cammett; Pauline Jones,The Oxford Handbook of Politics in Muslim Societies,Oxford University Press,Yes,,,,April,,,2022,https://global.oup.com/academic/product/the-oxford-handbook-of-politics-in-muslim-societies-9780190931056?cc=us&lang=en&,"No volume, issue, or page number.",,,,,,,,,,,Kiki - 10/8/23 batch,,expanding_content_container_inner_narrow,04/01/2022,Yes,Cammett Melani and Pauline Jones,"Cammett Melani and Pauline Jones. 2022. The Oxford Handbook of Politics in Muslim Societies. Oxford University Press nan, no. nan (April): nan."
,Book Chapter,85,Melani,,Cammett,Melani Cammett; Aytug Sasmaz,Social Policy in Developing Countries,Oxford University Press,No,,,239-255,May,,The Oxford Handbook of Historical Institutionalism,2016,https://academic.oup.com/edited-volume/28116/chapter-abstract/212258149?redirectedFrom=fulltext,No volume or issue number.,,,,,,,,,,,Kiki - 10/8/23 batch,,abstract extract,05/01/2016,Yes,Cammett Melani and Aytug Sasmaz,"Cammett Melani and Aytug Sasmaz. 2016. ""Social Policy in Developing Countries"" in The Oxford Handbook of Historical Institutionalism. Vol. No.: nan: Oxford University Press."
,Book Chapter,85,Melani,,Cammett,Melani Cammett,Development and Underdevelopment in the Middle East and North Africa,Oxford University Press,No,,,596-625,January,,The Oxford Handbook of the Politics of Development,2017,https://academic.oup.com/edited-volume/42048/chapter-abstract/355811278?redirectedFrom=fulltext,No volume or issue number.,,,,,,,,,,,Kiki - 10/8/23 batch,,abstract extract,01/01/2017,Yes,Cammett Melani,"Cammett Melani. 2017. ""Development and Underdevelopment in the Middle East and North Africa"" in The Oxford Handbook of the Politics of Development. Vol. No.: nan: Oxford University Press."
,Journal Article,1,Raffaella,,Sadun,Daniela Scur; Raffaella Sadun; John Van Reenen; Renata Lemos; Nicholas Bloom,The World Management Survey at 18: lessons and the way forward,Oxford Review of Economic Policy,No,37.0,2,231-258,Summer,,,2021,https://academic.oup.com/oxrep/article-abstract/37/2/231/6311333,,,,,,,,,,,,Summer - Kiki,,abstract extract,,Yes,"Scur Daniela, Raffaella Sadun, John Van Reenen, Renata Lemos and Nicholas Bloom","Scur Daniela, Raffaella Sadun, John Van Reenen, Renata Lemos and Nicholas Bloom. 2021. The World Management Survey at 18: lessons and the way forward. Oxford Review of Economic Policy 37.0, no. 2 (Summer): 231-258."
,Journal Article,10,Emily,L,Breza,Emily Breza; Arun Chandrasekhar; Benjamin Golub; Aneesha Parvathaneni,Networks in Economic Development,Oxford Review of Economic Policy,No,35.0,4,678-721,Winter,,,2019,https://academic.oup.com/oxrep/article/35/4/678/5651354?login=true,,,I cannot tell whether this is a book chapter or a journal article.,,,,,,,,,Summer - Kiki,,abstract extract,12/01/2019,Yes,"Breza Emily, Arun Chandrasekhar, Benjamin Golub and Aneesha Parvathaneni","Breza Emily, Arun Chandrasekhar, Benjamin Golub and Aneesha Parvathaneni. 2019. Networks in Economic Development. Oxford Review of Economic Policy 35.0, no. 4 (Winter): 678-721."
,Journal Article,50,Dani,,Rodrik,Dani Rodrik; Stefanie Stantcheva,Fixing Capitalism’s Good Jobs Problem,Oxford Review of Economic Policy,No,37.0,4,824-837,Winter,,,2021,https://academic.oup.com/oxrep/article-abstract/37/4/824/6423487?redirectedFrom=fulltext,,,,,,,,,,,,Summer - Kiki,,abstract extract,12/01/2021,Yes,Rodrik Dani and Stefanie Stantcheva,"Rodrik Dani and Stefanie Stantcheva. 2021. Fixing Capitalism’s Good Jobs Problem. Oxford Review of Economic Policy 37.0, no. 4 (Winter): 824-837."
,Book,100,Pippa,,Norris,Pippa Norris,In Praise of Skepticism: Trust but Verify.,Oxford Press,,,,,September,,,2022,https://global.oup.com/academic/product/in-praise-of-skepticism-9780197530115?cc=us&lang=en&,,,,,,,,,,,,Summer - Maceo,,expanding_content_container_inner_narrow,09/01/2022,Yes,Norris Pippa,Norris Pippa. 2022. In Praise of Skepticism: Trust but Verify.: Oxford Press.
,Journal Article,101,Meghan,,O'Sullivan,Megan O'Sullivan,The Energy Transition and the Enduring Role of Energy in US Foreign Policy,Oxford Energy Forum,,,,,February,,,2021,https://www.oxfordenergy.org/wpcms/wp-content/uploads/2021/02/OEF-126.pdf,,,,,,,,,,,,Summer - Maceo,,pdf,02/01/2021,Yes,O'Sullivan Megan,"O'Sullivan Megan. 2021. The Energy Transition and the Enduring Role of Energy in US Foreign Policy. Oxford Energy Forum nan, no. nan (February): nan."
,Journal Article,75,Jocelyn,,Viterna,Peggy Levitta; Jocelyn Viternab; Armin Muellerc; Charlotte Lloyd,Transnational Social Protection: Setting the Agenda,Oxford Development Studies,,45.0,1,2-19,,,,2017,https://www.tandfonline.com/doi/full/10.1080/13600818.2016.1239702,,,,,,,,,,,,Summer - Maceo,,hlFld-Abstract,01/01/2017,Yes,"Levitta Peggy, Jocelyn Viternab, Armin Muellerc and Charlotte Lloyd","Levitta Peggy, Jocelyn Viternab, Armin Muellerc and Charlotte Lloyd. 2017. Transnational Social Protection: Setting the Agenda. Oxford Development Studies 45.0, no. 1 (nan): 2-19."
,Book Chapter,10,Emily,L,Breza,Emily Breza,"Field Experiments, Social Networks, and Development",Oxford Academic,No,,,412-439,June,,The Oxford Handbook on the Economics of Networks,2016,https://academic.oup.com/edited-volume/28058/chapter/212023532,,,I am not sure if the publisher is correct.,,,,,,,,,Summer - Kiki,,abstract extract,06/01/2016,Yes,Breza Emily,"Breza Emily. 2016. ""Field Experiments, Social Networks, and Development"" in The Oxford Handbook on the Economics of Networks. Vol. No.: nan: Oxford Academic."
,Book Chapter,26,Zoe,,Marks,Zoe Marks,Women in Rebellion: The Case of Sierra Leone,Oxford Academic,No,,,489-500,December,,"Oxford Handbook on Women, Peace, and Security",2018,https://academic.oup.com/edited-volume/27959/chapter-abstract/211557204?redirectedFrom=fulltext,,,,,,,,,,,,Summer - Kiki,,abstract extract,12/01/2018,Yes,Marks Zoe,"Marks Zoe. 2018. ""Women in Rebellion: The Case of Sierra Leone"" in Oxford Handbook on Women, Peace, and Security. Vol. No.: nan: Oxford Academic."
,Journal Article,35,Andrew,Dean,Ho,Annika Jessen; Andrew D. Ho; C. Eduardo Corrales; Bevan Yueh; Jennifer J. Shin,Improving Measurement Efficiency of the Inner EAR Scale with Item Response Theory,Otolaryngology–Head and Neck Surgery,No,158.0,6,1093-1100,March,,,2018,https://journals.sagepub.com/doi/10.1177/0194599818760528,,,,,,,,,,,,Summer - Kiki,,"id=""abstract""",03/01/2018,Yes,"Jessen Annika, Andrew D. Ho, C. Eduardo Corrales, Bevan Yueh and Jennifer J. Shin","Jessen Annika, Andrew D. Ho, C. Eduardo Corrales, Bevan Yueh and Jennifer J. Shin. 2018. Improving Measurement Efficiency of the Inner EAR Scale with Item Response Theory. Otolaryngology–Head and Neck Surgery 158.0, no. 6 (March): 1093-1100."
,Journal Article,58,Asheley,V,Whillans,Julia D. Hur; Alice Lee-Yoon; Ashley V. Whillans,Are They Useful? The Effects of Performance Incentives on the Prioritization of Work Versus Personal Ties,Organizational Behavior and Human Decision Processes,No,165.0,,103-114,July,,,2021,https://www.sciencedirect.com/science/article/pii/S0749597821000492,No issue number.,,,,,,,,,,,Summer - Kiki,,abstract author,07/01/2021,Yes,"Hur Julia D., Alice Lee-Yoon and Ashley V. Whillans","Hur Julia D., Alice Lee-Yoon and Ashley V. Whillans. 2021. Are They Useful? The Effects of Performance Incentives on the Prioritization of Work Versus Personal Ties. Organizational Behavior and Human Decision Processes 165.0, no. nan (July): 103-114."
,Journal Article,58,Asheley,V,Whillans,Hanne K. Collins; Ashley V. Whillans; Leslie K. John,Joy and Rigor in Behavioral Science,Organizational Behavior and Human Decision Processes,No,164.0,,179-191,May,,,2021,https://www.sciencedirect.com/science/article/pii/S0749597821000327,No issue number.,,,,,,,,,,,Summer - Kiki,,abstract author,05/01/2021,Yes,"Collins Hanne K., Ashley V. Whillans and Leslie K. John","Collins Hanne K., Ashley V. Whillans and Leslie K. John. 2021. Joy and Rigor in Behavioral Science. Organizational Behavior and Human Decision Processes 164.0, no. nan (May): 179-191."
,Journal Article,30,Rembrand,M,Koning,Sharique Hasan; John-Paul Ferguson; Rembrand Koning,The Lives and Deaths of Jobs: Technical Interdependence and Survival in a Job Structure,Organization Science,No,26.0,6,1665-1681,November-December,,,2015,https://pubsonline.informs.org/doi/abs/10.1287/orsc.2015.1014,,,,,,,,,,,,Summer - Kiki,,,,Yes,"Hasan Sharique, John-Paul Ferguson and Rembrand Koning","Hasan Sharique, John-Paul Ferguson and Rembrand Koning. 2015. The Lives and Deaths of Jobs: Technical Interdependence and Survival in a Job Structure. Organization Science 26.0, no. 6 (November-December): 1665-1681."
,Journal Article,43,Tarun,,Khanna,Budhaditya Gupta; Tarun Khanna,A Recombination-Based Internationalization Model: Evidence from Narayana Health's Journey from India to the Cayman Islands,Organization Science,No,30.0,2,405-425,March-April,,,2019,https://pubsonline.informs.org/doi/10.1287/orsc.2018.1241,,,,,,,,,,,,Summer - Kiki,,,,Yes,Gupta Budhaditya and Tarun Khanna,"Gupta Budhaditya and Tarun Khanna. 2019. A Recombination-Based Internationalization Model: Evidence from Narayana Health's Journey from India to the Cayman Islands. Organization Science 30.0, no. 2 (March-April): 405-425."
,Media Article,125,Alicia,Ely,Yamin,Alicia Ely Yamin,Reflections on Paul Farmer’s legacy: a clarion call for transformative human rights praxis in global health,OpenGlobalRights,,,,,March,,,2023,https://www.openglobalrights.org/reflections-on-paul-farmers-legacy-a-clarion-call-for-transformative-human-rights-praxis-in-global-health/,,,,,,,,,,,,Summer - Maceo,,,03/01/2023,Yes,Yamin Alicia Ely,"Yamin Alicia Ely. 2023. Reflections on Paul Farmer’s legacy: a clarion call for transformative human rights praxis in global health. OpenGlobalRights, nan."
,Media Article,125,Alicia,Ely,Yamin,Alicia Ely Yamin,Reflections on Paul Farmer’s Legacy: a Clarion Call for Transformative Human Rights Praxis in Global Health,OpenGlobalRights,No,,,,March,,,2022,https://www.openglobalrights.org/reflections-on-paul-farmers-legacy-a-clarion-call-for-transformative-human-rights-praxis-in-global-health/,"No volume, issue, or page numbers.",,,,,,,,,,,Kiki - 10/15/23 batch,,,03/01/2022,Yes,Yamin Alicia Ely,"Yamin Alicia Ely. 2022. Reflections on Paul Farmer’s Legacy: a Clarion Call for Transformative Human Rights Praxis in Global Health. OpenGlobalRights, nan."
,Journal Article,76,Jeffry,,Frieden,J. Lawrence Broz; Maya Duru; Jeffry Frieden,Policy Responses to Balance-of-Payments Crises: The Role of Elections,Open Economies Review,,27.0,2,204-227,April,,,2016,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2686403,,,,,,,,,,,,Summer - Maceo,,abstract-text,04/01/2016,Yes,"Broz J. Lawrence, Maya Duru and Jeffry Frieden","Broz J. Lawrence, Maya Duru and Jeffry Frieden. 2016. Policy Responses to Balance-of-Payments Crises: The Role of Elections. Open Economies Review 27.0, no. 2 (April): 204-227."
,Journal Article,89,Jeffery,,Frankel,Jeffrey A. Frankel,Systematic Managed Floating,Open Economies Review,,30.0,2,255-295,April,,,2019,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3018320#,,,,,,,,,,,,Summer - Maceo,,abstract-text,04/01/2019,Yes,Frankel Jeffrey A.,"Frankel Jeffrey A.. 2019. Systematic Managed Floating. Open Economies Review 30.0, no. 2 (April): 255-295."
,Journal Article,89,Jeffery,,Frankel,Jeffery Frankel,Systematic Managed Floating,Open Economic Review,,30.0,2,255-295,,,,2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3018320,,,,,,,,,,,,Summer - Maceo,,abstract-text,01/01/2021,Yes,Frankel Jeffery,"Frankel Jeffery. 2021. Systematic Managed Floating. Open Economic Review 30.0, no. 2 (nan): 255-295."
,Journal Article,92,Ricardo,,Hausman,Barry Eichengreen; Ricardo Hausmann; Ugo Panizza,Yet it Endures: The Persistence of Original Sin,Open Economic Review,,34.0,,1-42,,,,2023,https://link.springer.com/article/10.1007/s11079-022-09704-3,,,,,,,,,,,,Summer - Maceo,,,01/01/2023,Yes,"Eichengreen Barry, Ricardo Hausmann and Ugo Panizza","Eichengreen Barry, Ricardo Hausmann and Ugo Panizza. 2023. Yet it Endures: The Persistence of Original Sin. Open Economic Review 34.0, no. nan (nan): 1-42."
,Journal Article,112,Winnie,,Yip,Tiffany W S Lau; Gavin S W Chan; H Y Yip; Jackie C K Poon; Gary K F Tsang; Winnie P W Yip; Amy Y M Chow; Philip S L Beh,A Tale of Two Surveys: Life-Affirming Strategy of Mortuary Improves the Quality of Bereavement Care After Hospital Death,Omega,,86.0,3,,February,,,2023,https://pubmed.ncbi.nlm.nih.gov/33535897/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2023,Yes,"Lau Tiffany W S, Gavin S W Chan, H Y Yip, Jackie C K Poon, Gary K F Tsang, Winnie P W Yip, Amy Y M Chow and Philip S L Beh","Lau Tiffany W S, Gavin S W Chan, H Y Yip, Jackie C K Poon, Gary K F Tsang, Winnie P W Yip, Amy Y M Chow and Philip S L Beh. 2023. A Tale of Two Surveys: Life-Affirming Strategy of Mortuary Improves the Quality of Bereavement Care After Hospital Death. Omega 86.0, no. 3 (February): nan."
,Book,64,Fernando ,,Remiers,Fernando Remiers,How Learning Continued during COVID-19,OECD,,,,,January ,,,2022,https://www.oecd.org/governance/how-learning-continued-during-the-covid-19-pandemic-bbeca162-en.htm,,,,,,,,,,,,Summer - Maceo,,,,Yes,Remiers Fernando,Remiers Fernando. 2022. How Learning Continued during COVID-19.: OECD.
,Chapter,64,Fernando,,Remiers,Fernando Remiers,Learning from the frontlines of educational innovation during a pandemic ,OECD,,,,,January,,How Learning Continued during the COVID-19 Pandemic,2022,https://www.oecd.org/governance/how-learning-continued-during-the-covid-19-pandemic-bbeca162-en.htm,,,How do I take out the hyperlink for the Book title,,,,,,,,,Summer - Maceo,,,01/01/2022,Yes,Remiers Fernando,Skipped
